OBJECTID,ID,NAME,OTHER,LANDUSE,GLOBALID,SHAPE.AREA,SHAPE.LEN
972,1,Academic,Existing,Academic,{691363D3-1B18-4795-8119-692713BCC53D},2793643.98941937,16055.3708286578
968,4,Acadia East,2050,Neighbourhood,{8D0B2500-30B7-4D65-A803-C06EE243638F},152427.865655315,2227.65996940478
961,1,Chancellor Place,Existing,Neighbourhood,{C6E7FB77-73E1-42ED-9CD7-D7FB5ACF92F6},92752.490713525,1228.55893164424
967,4,Stadium,2050,Neighbourhood,{9E08148B-AB73-4517-85DD-F20D6C0C1D2A},69435.946231855,1729.35321289061
969,4,Acadia Future,Future 2050+,Neighbourhood,{7FE8C3BA-F863-4C83-8BF4-EE64CE85B374},58939.508415205,991.940162898238
964,3,Wesbrook Place,Expansion,Neighbourhood,{32474676-F230-4E13-8E57-A51A0D4FB124},504609.51596876,2898.23245145097
962,1,Hampton Place,Existing,Neighbourhood,{2E521CCB-553A-47F4-AF1E-D17303736FB5},113484.36007815,1351.18503966491
966,1,UBlvd,Existing,Neighbourhood,{91B32271-8203-4D1F-B1E9-113653E90BF0},36754.69708564,1143.30485436918
965,4,Hawthorn Place,Expansion,Neighbourhood,{DFADB588-8CD7-4E82-8198-64DDF41DAE0B},137127.429934755,1876.07337080059
963,1,East Campus,Existing,Neighbourhood,{364AF150-DDB3-46DF-88FB-06160597B6CF},31926.901485685,951.435488025483
970,4,Acadia Future,Future 2050+,Neighbourhood,{64D5016C-5A22-415F-8F28-8D4FC8AA9AAE},27564.026498515,723.46581718705
