ID,NAME,OTHER,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE.AREA,SHAPE.LEN
1,Hampton Place,Subdivided,,,,,{4F9942A3-0938-43A9-AA38-C3772919E83A},113484.36007815,1351.18503966491
1,Chancellor Place,Subdivided,,,,,{C838D639-76E9-4D47-8272-90826FB4BE2F},92752.490713525,1228.55893164424
1,East Campus,Subdivided,,,,,{22C39233-09E3-4831-99BD-A4584C8D865F},31564.10366057,931.448279036659
4,Acadia Future,Future 2050+,,,,,{695770EC-1F0E-4EAE-915B-C000505658D5},27564.026498515,723.46581718705
4,Acadia Future,Future 2050+,,,,,{4904D66D-830E-4C30-ABC6-88278D45AA79},58939.508415205,991.940162898238
1,UBlvd,Village Centre Acade,,,,,{A602E0F6-568D-4DD0-9CD3-7A3ECB5FDDD5},36754.701437925,1143.82473342383
3,Wesbrook Place,2050,,,,,{AC051450-F51A-419F-A70B-BB351C3ED301},510564.06228396,2944.95786514726
2,Wesbrook Place,Subdivided,,,,,{F4C990C7-3611-466A-8EC2-8173BDC3ACA0},460768.589178085,2842.64688925965
4,Acadia East,2050,,,,,{902DDE31-54E5-423A-A184-C5E89C55AD66},152427.865655315,2227.65996940478
4,Stadium,2050,,,,,{A3FD23D5-4F99-413A-9A65-007FEAE3EEA3},64695.726714895,1294.21483714479
4,Stadium,2050,,,,,{0F33DF57-DD90-43C0-A25B-90F882955B2B},4787.83646606,435.654970716852
4,Hawthorn Place,2050,,,,,{335D6880-364E-4A94-A081-7DF5710E4FD0},137126.40010838,1876.11481855767
1,Hawthorn Place,Subdivided,,,,,{2FEBEDC7-691C-46A5-BFB4-B1E23C6F59A5},109854.989848905,1582.12165786942
